"DisMod II input and output, database QIMD 1 2011 affluent","","","","","","","","","","",""
"Females, Disease: CHD (Rates * ), sex: Females","","","","","","","","","","",""
"Written 05/12/2016, 22:18:39","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","75.2722","0.0000","1.0017","0.5000"
"1","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","74.4043","0.0000","1.0038","1.5000"
"2","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","73.4530","0.0000","1.0190","2.5000"
"3","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0000","72.4631","0.0000","1.0699","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0000","71.4663","0.0000","1.1208","4.5000"
"5","0.0001","0.0000","0.0000","0.0001","0.0001","0.0000","0.0000","70.4686","0.0000","1.1202","5.5000"
"6","0.0002","0.0000","0.0000","0.0001","0.0002","0.0000","0.0000","69.4708","0.0000","1.0871","6.5000"
"7","0.0004","0.0000","0.0000","0.0001","0.0003","0.0000","0.0000","68.4736","0.0000","1.0584","7.5000"
"8","0.0005","0.0000","0.0000","0.0001","0.0004","0.0000","0.0000","67.4768","0.0000","1.0441","8.5000"
"9","0.0007","0.0000","0.0000","0.0001","0.0005","0.0000","0.0000","66.4803","0.0000","1.0383","9.5000"
"10","0.0008","0.0000","0.0000","0.0001","0.0007","0.0000","0.0000","65.4837","0.0000","1.0374","10.5000"
"11","0.0010","0.0000","0.0000","0.0001","0.0008","0.0000","0.0000","64.4870","0.0000","1.0391","11.5000"
"12","0.0012","0.0000","0.0000","0.0001","0.0010","0.0000","0.0000","63.4903","0.0000","1.0411","12.5000"
"13","0.0013","0.0000","0.0000","0.0001","0.0012","0.0000","0.0000","62.4936","0.0000","1.0413","13.5000"
"14","0.0015","0.0000","0.0000","0.0001","0.0013","0.0000","0.0000","61.4972","0.0000","1.0396","14.5000"
"15","0.0016","0.0000","0.0000","0.0001","0.0015","0.0000","0.0000","60.5015","0.0000","1.0367","15.5000"
"16","0.0018","0.0000","0.0000","0.0001","0.0017","0.0000","0.0000","59.5065","0.0000","1.0338","16.5000"
"17","0.0019","0.0000","0.0000","0.0001","0.0019","0.0000","0.0000","58.5125","0.0000","1.0324","17.5000"
"18","0.0021","0.0000","0.0000","0.0001","0.0020","0.0000","0.0000","57.5193","0.0000","1.0336","18.5000"
"19","0.0022","0.0000","0.0000","0.0001","0.0022","0.0000","0.0000","56.5270","0.0000","1.0374","19.5000"
"20","0.0024","0.0000","0.0000","0.0001","0.0023","0.0000","0.0000","55.5354","0.0000","1.0438","20.5000"
"21","0.0025","0.0000","0.0000","0.0001","0.0025","0.0000","0.0000","54.5445","0.0000","1.0527","21.5000"
"22","0.0027","0.0000","0.0000","0.0001","0.0026","0.0000","0.0000","53.5542","0.0000","1.0636","22.5000"
"23","0.0029","0.0000","0.0000","0.0000","0.0027","0.0000","0.0000","52.5647","0.0000","1.0750","23.5000"
"24","0.0030","0.0000","0.0000","0.0000","0.0029","0.0000","0.0000","51.5761","0.0000","1.0860","24.5000"
"25","0.0032","0.0000","0.0000","0.0000","0.0030","0.0000","0.0000","50.5885","0.0000","1.0964","25.5000"
"26","0.0033","0.0000","0.0000","0.0000","0.0031","0.0000","0.0000","49.6017","0.0000","1.1063","26.5000"
"27","0.0034","0.0000","0.0000","0.0000","0.0032","0.0000","0.0000","48.6159","0.0000","1.1163","27.5000"
"28","0.0035","0.0000","0.0000","0.0000","0.0033","0.0000","0.0000","47.6309","0.0000","1.1305","28.5000"
"29","0.0035","0.0000","0.0000","0.0000","0.0034","0.0000","0.0000","46.6465","0.0000","1.1649","29.5000"
"30","0.0034","0.0000","0.0000","0.0000","0.0035","0.0000","0.0001","45.6632","0.0000","1.2366","30.5000"
"31","0.0033","0.0000","0.0000","0.0000","0.0035","0.0000","0.0001","44.6814","0.0000","1.3605","31.5000"
"32","0.0032","0.0000","0.0000","0.0000","0.0036","0.0000","0.0002","43.7020","0.0000","1.5480","32.5000"
"33","0.0030","0.0000","0.0000","0.0000","0.0037","0.0000","0.0003","42.7260","0.0000","1.8055","33.5000"
"34","0.0028","0.0000","0.0000","0.0000","0.0037","0.0000","0.0004","41.7549","0.0000","2.1355","34.5000"
"35","0.0026","0.0000","0.0000","0.0000","0.0038","0.0000","0.0006","40.7899","0.0000","2.5379","35.5000"
"36","0.0024","0.0000","0.0000","0.0000","0.0038","0.0000","0.0008","39.8328","0.0000","3.0094","36.5000"
"37","0.0022","0.0000","0.0000","0.0000","0.0039","0.0000","0.0011","38.8852","0.0000","3.5444","37.5000"
"38","0.0021","0.0000","0.0000","0.0000","0.0039","0.0000","0.0014","37.9488","0.0000","4.1349","38.5000"
"39","0.0020","0.0000","0.0000","0.0000","0.0039","0.0000","0.0018","37.0257","0.0000","4.7665","39.5000"
"40","0.0020","0.0000","0.0000","0.0000","0.0039","0.0000","0.0023","36.1178","0.0000","5.4197","40.5000"
"41","0.0020","0.0000","0.0000","0.0000","0.0039","0.0000","0.0028","35.2273","0.0000","6.0747","41.5000"
"42","0.0019","0.0000","0.0000","0.0000","0.0040","0.0000","0.0035","34.3565","0.0000","6.7070","42.5000"
"43","0.0019","0.0000","0.0000","0.0000","0.0040","0.0000","0.0042","33.5080","0.0000","7.2914","43.5000"
"44","0.0018","0.0000","0.0000","0.0000","0.0040","0.0000","0.0051","32.6846","0.0000","7.8194","44.5000"
"45","0.0017","0.0000","0.0000","0.0000","0.0040","0.0000","0.0061","31.8891","0.0000","8.2927","45.5000"
"46","0.0017","0.0000","0.0000","0.0000","0.0039","0.0000","0.0072","0.0000","0.0000","8.7038","0.0000"
"47","0.0017","0.0000","0.0000","0.0000","0.0039","0.0000","0.0083","0.0000","0.0000","9.0022","0.0000"
"48","0.0018","0.0000","0.0000","0.0000","0.0039","0.0000","0.0095","29.6906","0.0000","9.1531","48.5000"
"49","0.0020","0.0000","0.0000","0.0001","0.0039","0.0000","0.0105","29.0182","0.0000","9.1334","49.5000"
"50","0.0024","0.0000","0.0001","0.0001","0.0039","0.0000","0.0114","28.3695","0.0000","8.9327","50.5000"
"51","0.0029","0.0000","0.0001","0.0003","0.0041","0.0000","0.0120","27.7376","0.0000","8.5517","51.5000"
"52","0.0037","0.0000","0.0001","0.0005","0.0044","0.0000","0.0123","27.1143","0.0001","8.0113","52.5000"
"53","0.0046","0.0000","0.0001","0.0007","0.0049","0.0000","0.0123","26.4914","0.0001","7.3802","53.5000"
"54","0.0059","0.0000","0.0001","0.0009","0.0057","0.0000","0.0121","25.8627","0.0001","6.7207","54.5000"
"55","0.0073","0.0000","0.0001","0.0012","0.0068","0.0000","0.0118","25.2236","0.0001","6.0772","55.5000"
"56","0.0088","0.0000","0.0001","0.0015","0.0081","0.0000","0.0114","24.5716","0.0001","5.4803","56.5000"
"57","0.0106","0.0000","0.0001","0.0017","0.0097","0.0000","0.0110","23.9055","0.0001","4.9499","57.5000"
"58","0.0124","0.0000","0.0001","0.0019","0.0116","0.0000","0.0106","23.2259","0.0001","4.4946","58.5000"
"59","0.0143","0.0000","0.0001","0.0020","0.0136","0.0000","0.0103","22.5341","0.0001","4.1054","59.5000"
"60","0.0163","0.0000","0.0001","0.0022","0.0158","0.0000","0.0100","21.8318","0.0002","3.7716","60.5000"
"61","0.0186","0.0000","0.0002","0.0023","0.0183","0.0000","0.0098","21.1212","0.0002","3.4845","61.5000"
"62","0.0210","0.0000","0.0002","0.0025","0.0209","0.0000","0.0097","20.4047","0.0002","3.2372","62.5000"
