"DisMod II input and output, database QIMD 2 2011","","","","","","","","","","",""
"Females, Disease: CHD (Rates * ), sex: Females","","","","","","","","","","",""
"Written 05/12/2016, 22:36:59","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0016","0.0000","0.0000","0.0000","0.0016","0.0001","0.0000","49.4071","0.0000","1.0003","0.5000"
"1","0.0015","0.0000","0.0000","0.0000","0.0016","0.0001","0.0000","48.5093","0.0000","0.0000","1.5000"
"2","0.0008","0.0000","0.0000","0.0000","0.0016","0.0001","0.0000","47.5540","0.0000","0.0000","2.5000"
"3","0.0001","0.0000","0.0000","0.0000","0.0016","0.0002","0.0000","46.5723","0.0000","1.0367","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0016","0.0004","0.0000","45.5920","0.0000","1.5816","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0016","0.0007","0.0001","44.6221","0.0000","2.3893","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0016","0.0009","0.0001","43.6639","0.0000","2.7085","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0016","0.0011","0.0001","42.7143","0.0000","2.5062","7.5000"
"8","0.0001","0.0000","0.0000","0.0000","0.0016","0.0010","0.0001","41.7665","0.0000","2.0492","8.5000"
"9","0.0001","0.0000","0.0000","0.0000","0.0016","0.0008","0.0000","40.8101","0.0000","1.2260","9.5000"
"10","0.0001","0.0000","0.0000","0.0000","0.0016","0.0003","0.0000","39.8365","0.0000","0.0000","10.5000"
"11","0.0001","0.0000","0.0000","0.0000","0.0016","0.0001","0.0000","38.8484","0.0000","0.0000","11.5000"
"12","0.0000","0.0000","0.0000","0.0000","0.0016","0.0007","0.0000","37.8679","0.0000","1.3638","12.5000"
"13","0.0000","0.0000","0.0000","0.0000","0.0016","0.0027","0.0005","36.9441","0.0000","6.6232","13.5000"
"14","0.0000","0.0000","0.0000","0.0000","0.0016","0.0066","0.0014","36.1511","0.0000","15.4380","14.5000"
"15","0.0000","0.0000","0.0000","0.0000","0.0016","0.0130","0.0029","35.5819","0.0000","27.2323","15.5000"
"16","0.0000","0.0000","0.0000","0.0000","0.0016","0.0221","0.0050","0.0000","0.0000","40.8828","0.0000"
"17","0.0000","0.0000","0.0000","0.0000","0.0015","0.0328","0.0075","0.0000","0.0000","54.1005","0.0000"
"18","0.0000","0.0000","0.0000","0.0000","0.0015","0.0437","0.0100","0.0000","0.0000","65.8387","0.0000"
"19","0.0000","0.0000","0.0000","0.0000","0.0014","0.0533","0.0122","0.0000","0.0000","75.0774","0.0000"
"20","0.0000","0.0000","0.0000","0.0000","0.0013","0.0601","0.0138","0.0000","0.0000","80.5052","0.0000"
"21","0.0000","0.0000","0.0000","0.0000","0.0012","0.0627","0.0145","41.1429","0.0000","80.6313","21.5000"
"22","0.0000","0.0000","0.0000","0.0000","0.0011","0.0601","0.0140","43.3458","0.0000","74.5200","22.5000"
"23","0.0000","0.0000","0.0000","0.0000","0.0010","0.0534","0.0126","45.4638","0.0000","63.7290","23.5000"
"24","0.0000","0.0000","0.0000","0.0000","0.0010","0.0438","0.0106","47.2624","0.0000","50.7163","24.5000"
"25","0.0001","0.0000","0.0000","0.0000","0.0009","0.0330","0.0082","48.5622","0.0000","37.5830","25.5000"
"26","0.0001","0.0000","0.0000","0.0000","0.0009","0.0222","0.0059","49.2689","0.0000","25.8901","26.5000"
"27","0.0000","0.0000","0.0000","0.0000","0.0009","0.0130","0.0039","49.3930","0.0000","16.7474","27.5000"
"28","0.0000","0.0000","0.0000","0.0000","0.0009","0.0065","0.0025","0.0000","0.0000","10.6869","0.0000"
"29","0.0000","0.0000","0.0000","0.0000","0.0009","0.0025","0.0016","0.0000","0.0000","7.0872","0.0000"
"30","0.0000","0.0000","0.0000","0.0000","0.0008","0.0003","0.0012","47.5237","0.0000","5.2561","30.5000"
"31","0.0000","0.0000","0.0000","0.0000","0.0009","0.0000","0.0010","46.5965","0.0000","4.6286","31.5000"
"32","0.0000","0.0000","0.0000","0.0001","0.0009","0.0000","0.0011","45.6592","0.0000","4.6945","32.5000"
"33","0.0003","0.0000","0.0000","0.0002","0.0011","0.0001","0.0013","44.7291","0.0000","4.9849","33.5000"
"34","0.0008","0.0000","0.0000","0.0003","0.0013","0.0004","0.0014","43.8144","0.0000","5.1682","34.5000"
"35","0.0015","0.0000","0.0000","0.0004","0.0017","0.0005","0.0016","42.9139","0.0000","5.1991","35.5000"
"36","0.0023","0.0000","0.0000","0.0006","0.0022","0.0004","0.0017","42.0199","0.0000","5.1021","36.5000"
"37","0.0032","0.0000","0.0000","0.0007","0.0029","0.0003","0.0018","41.1270","0.0000","4.9059","37.5000"
"38","0.0043","0.0000","0.0000","0.0009","0.0038","0.0001","0.0019","40.2322","0.0000","4.6412","38.5000"
"39","0.0053","0.0000","0.0000","0.0009","0.0048","0.0000","0.0020","39.3346","0.0000","4.3425","39.5000"
"40","0.0064","0.0000","0.0000","0.0009","0.0058","0.0000","0.0020","38.4367","0.0000","4.0430","40.5000"
"41","0.0073","0.0000","0.0000","0.0009","0.0068","0.0000","0.0021","37.5408","0.0000","3.7814","41.5000"
"42","0.0082","0.0000","0.0000","0.0008","0.0078","0.0000","0.0021","36.6469","0.0000","3.5855","42.5000"
"43","0.0088","0.0000","0.0000","0.0007","0.0088","0.0000","0.0022","35.7553","0.0000","3.4697","43.5000"
"44","0.0092","0.0000","0.0000","0.0006","0.0096","0.0000","0.0023","34.8668","0.0000","3.4283","44.5000"
"45","0.0095","0.0000","0.0000","0.0004","0.0103","0.0000","0.0025","33.9830","0.0000","3.4524","45.5000"
"46","0.0098","0.0000","0.0000","0.0004","0.0110","0.0000","0.0028","33.1060","0.0000","3.5271","46.5000"
"47","0.0102","0.0000","0.0001","0.0003","0.0116","0.0000","0.0031","32.2377","0.0000","3.6151","47.5000"
"48","0.0107","0.0000","0.0001","0.0003","0.0121","0.0000","0.0034","31.3793","0.0000","3.6807","48.5000"
"49","0.0114","0.0000","0.0001","0.0003","0.0127","0.0000","0.0038","30.5313","0.0000","3.7097","49.5000"
"50","0.0123","0.0000","0.0001","0.0004","0.0133","0.0000","0.0042","29.6939","0.0001","3.6988","50.5000"
"51","0.0133","0.0000","0.0001","0.0005","0.0140","0.0000","0.0045","28.8668","0.0001","3.6502","51.5000"
"52","0.0144","0.0000","0.0001","0.0007","0.0149","0.0000","0.0048","28.0491","0.0001","3.5717","52.5000"
"53","0.0155","0.0000","0.0001","0.0009","0.0160","0.0000","0.0051","27.2398","0.0001","3.4760","53.5000"
"54","0.0169","0.0000","0.0001","0.0012","0.0174","0.0000","0.0054","26.4377","0.0001","3.3677","54.5000"
"55","0.0184","0.0000","0.0001","0.0015","0.0191","0.0000","0.0057","25.6418","0.0001","3.2480","55.5000"
"56","0.0203","0.0000","0.0001","0.0019","0.0211","0.0000","0.0059","24.8513","0.0001","3.1181","56.5000"
"57","0.0226","0.0000","0.0002","0.0022","0.0235","0.0000","0.0061","24.0656","0.0001","2.9789","57.5000"
"58","0.0255","0.0000","0.0002","0.0025","0.0262","0.0000","0.0062","23.2842","0.0002","2.8332","58.5000"
"59","0.0290","0.0000","0.0002","0.0029","0.0292","0.0000","0.0064","22.5069","0.0002","2.6897","59.5000"
"60","0.0329","0.0000","0.0002","0.0032","0.0326","0.0000","0.0065","21.7338","0.0002","2.5559","60.5000"
"61","0.0371","0.0000","0.0003","0.0035","0.0363","0.0000","0.0067","20.9649","0.0002","2.4370","61.5000"
"62","0.0416","0.0000","0.0003","0.0038","0.0403","0.0000","0.0069","20.2001","0.0003","2.3364","62.5000"
"63","0.0461","0.0000","0.0003","0.0041","0.0447","0.0000","0.0071","19.4394","0.0003","2.2548","63.5000"
"64","0.0507","0.0000","0.0003","0.0043","0.0492","0.0000","0.0073","18.6827","0.0004","2.1888","64.5000"
"65","0.0552","0.0000","0.0004","0.0045","0.0541","0.0000","0.0076","17.9304","0.0004","2.1350","65.5000"
"66","0.0597","0.0000","0.0005","0.0046","0.0591","0.0000","0.0080","17.1832","0.0005","2.0901","66.5000"
"67","0.0641","0.0000","0.0005","0.0047","0.0643","0.0000","0.0085","16.4422","0.0005","2.0511","67.5000"
"68","0.0684","0.0000","0.0006","0.0048","0.0696","0.0000","0.0090","15.7091","0.0006","2.0158","68.5000"
"69","0.0726","0.0000","0.0008","0.0048","0.0749","0.0000","0.0097","14.9857","0.0007","1.9844","69.5000"
"70","0.0768","0.0000","0.0009","0.0047","0.0802","0.0000","0.0105","14.2737","0.0008","1.9571","70.5000"
