"DisMod II input and output, database QIMD 1 2011 affluent","","","","","","","","","","",""
"Males, Disease: CHD (Rates * ), sex: Males","","","","","","","","","","",""
"Written 05/12/2016, 22:11:12","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0006476980","0.0000000000","0.0000000000","0.0000044094","0.0006499010","0.0000000000","0.0000008623","69.3855392065","0.0000000006","1.0002916381","0.5000000000"
"1","0.0005861043","0.0000000000","0.0000000004","0.0000043355","0.0006544020","0.0000000000","0.0000013078","68.5322429442","0.0000000009","1.0010151315","1.5000000000"
"2","0.0003068270","0.0000000000","0.0000000013","0.0000041284","0.0006588960","0.0000000000","0.0000025044","67.5844124854","0.0000000017","1.0106118290","2.5000000000"
"3","0.0000000000","0.0000000000","0.0000000000","0.0000038102","0.0006632583","0.0000000000","0.0000042427","66.5945350997","0.0000000028","1.0729461099","3.5000000000"
"4","0.0000000000","0.0000000000","0.0000000000","0.0000034029","0.0006673828","0.0000000000","0.0000063623","65.5978356514","0.0000000042","1.2053116303","4.5000000000"
"5","0.0000000000","0.0000000000","0.0000000000","0.0000029293","0.0006711831","0.0000000000","0.0000088984","64.6002789308","0.0000000060","1.3089170325","5.5000000000"
"6","0.0000000000","0.0000000000","0.0000000000","0.0000024119","0.0006745933","0.0000000000","0.0000119350","63.6030401863","0.0000000081","1.3262141663","6.5000000000"
"7","0.0000000000","0.0000000000","0.0000000000","0.0000018736","0.0006775681","0.0000000000","0.0000155564","62.6066273347","0.0000000105","1.3128058359","7.5000000000"
"8","0.0000299425","0.0000000000","0.0000000112","0.0000013370","0.0006800842","0.0000000000","0.0000198466","61.6111190371","0.0000000135","1.3329277478","8.5000000000"
"9","0.0000600875","0.0000000000","0.0000000381","0.0000008248","0.0006821405","0.0000000000","0.0000248899","60.6162494458","0.0000000170","1.3912646242","9.5000000000"
