"DisMod II input and output, database QIMD 4 2011","","","","","","","","","","",""
"Males, Disease: CHD (Rates * ), sex: Males","","","","","","","","","","",""
"Written 05/12/2016, 23:09:16","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0029","0.0000","0.0000","0.0000","0.0029","0.0000","0.0002","64.8596","0.0000","1.0328","0.5000"
"1","0.0026","0.0000","0.0000","0.0000","0.0029","0.0000","0.0002","64.1148","0.0000","1.0837","1.5000"
"2","0.0014","0.0000","0.0000","0.0000","0.0029","0.0000","0.0002","63.2059","0.0000","1.5586","2.5000"
"3","0.0000","0.0000","0.0000","0.0000","0.0029","0.0000","0.0002","62.2314","0.0000","3.5440","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0029","0.0000","0.0002","61.2485","0.0000","5.6482","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0029","0.0000","0.0002","60.2658","0.0000","5.4956","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0029","0.0000","0.0003","59.2854","0.0000","4.1538","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0030","0.0000","0.0003","58.3081","0.0000","3.2060","7.5000"
"8","0.0001","0.0000","0.0000","0.0000","0.0030","0.0000","0.0003","57.3337","0.0000","2.9722","8.5000"
"9","0.0002","0.0000","0.0000","0.0000","0.0030","0.0000","0.0003","56.3602","0.0000","3.1701","9.5000"
"10","0.0002","0.0000","0.0000","0.0000","0.0030","0.0000","0.0003","0.0000","0.0000","3.6364","0.0000"
"11","0.0001","0.0000","0.0000","0.0000","0.0030","0.0000","0.0003","0.0000","0.0000","4.1872","0.0000"
"12","0.0000","0.0000","0.0000","0.0000","0.0030","0.0000","0.0003","0.0000","0.0000","4.4544","0.0000"
"13","0.0000","0.0000","0.0000","0.0000","0.0030","0.0000","0.0003","0.0000","0.0000","4.1002","0.0000"
"14","0.0000","0.0000","0.0000","0.0000","0.0030","0.0000","0.0003","0.0000","0.0000","3.3602","0.0000"
"15","0.0000","0.0000","0.0000","0.0000","0.0030","0.0000","0.0002","50.4916","0.0000","2.6000","15.5000"
"16","0.0000","0.0000","0.0000","0.0000","0.0030","0.0000","0.0002","49.5116","0.0000","2.0241","16.5000"
"17","0.0000","0.0000","0.0000","0.0000","0.0030","0.0000","0.0002","48.5330","0.0000","1.7006","17.5000"
"18","0.0000","0.0000","0.0000","0.0000","0.0030","0.0000","0.0002","47.5573","0.0000","1.5933","18.5000"
"19","0.0000","0.0000","0.0000","0.0000","0.0030","0.0000","0.0003","46.5858","0.0000","1.6506","19.5000"
"20","0.0000","0.0000","0.0000","0.0000","0.0030","0.0000","0.0004","45.6207","0.0000","1.8564","20.5000"
"21","0.0000","0.0000","0.0000","0.0000","0.0030","0.0000","0.0006","44.6641","0.0000","2.2251","21.5000"
"22","0.0000","0.0000","0.0000","0.0000","0.0030","0.0000","0.0009","0.0000","0.0000","2.7755","0.0000"
"23","0.0002","0.0000","0.0000","0.0000","0.0030","0.0000","0.0013","0.0000","0.0000","3.4748","0.0000"
"24","0.0006","0.0000","0.0000","0.0000","0.0030","0.0000","0.0017","41.8709","0.0000","4.2709","24.5000"
"25","0.0013","0.0000","0.0000","0.0000","0.0030","0.0000","0.0021","40.9687","0.0000","5.0883","25.5000"
"26","0.0021","0.0000","0.0000","0.0001","0.0031","0.0000","0.0024","40.0794","0.0000","5.8161","26.5000"
"27","0.0030","0.0000","0.0000","0.0003","0.0033","0.0000","0.0027","39.2006","0.0000","6.3137","27.5000"
"28","0.0042","0.0000","0.0000","0.0005","0.0036","0.0000","0.0029","38.3290","0.0000","6.4752","28.5000"
"29","0.0054","0.0000","0.0000","0.0007","0.0042","0.0000","0.0030","37.4616","0.0000","6.3744","29.5000"
"30","0.0066","0.0000","0.0000","0.0009","0.0050","0.0000","0.0031","36.5971","0.0000","6.1346","30.5000"
"31","0.0078","0.0000","0.0000","0.0011","0.0061","0.0000","0.0033","35.7354","0.0000","5.8644","31.5000"
"32","0.0089","0.0000","0.0000","0.0012","0.0073","0.0000","0.0035","34.8782","0.0000","5.6461","32.5000"
"33","0.0097","0.0000","0.0000","0.0013","0.0087","0.0000","0.0037","34.0282","0.0000","5.5320","33.5000"
"34","0.0103","0.0000","0.0000","0.0012","0.0101","0.0000","0.0042","33.1890","0.0000","5.5311","34.5000"
"35","0.0108","0.0000","0.0001","0.0011","0.0114","0.0000","0.0047","32.3646","0.0001","5.6023","35.5000"
"36","0.0112","0.0000","0.0001","0.0009","0.0126","0.0000","0.0054","31.5582","0.0001","5.7067","36.5000"
"37","0.0117","0.0000","0.0001","0.0007","0.0136","0.0000","0.0061","30.7720","0.0001","5.8183","37.5000"
"38","0.0124","0.0000","0.0001","0.0006","0.0145","0.0000","0.0069","30.0077","0.0001","5.9216","38.5000"
"39","0.0133","0.0000","0.0001","0.0006","0.0153","0.0000","0.0078","29.2662","0.0001","6.0086","39.5000"
"40","0.0143","0.0000","0.0002","0.0007","0.0162","0.0000","0.0087","28.5477","0.0001","6.0763","40.5000"
"41","0.0157","0.0000","0.0002","0.0009","0.0171","0.0000","0.0096","27.8518","0.0002","6.1226","41.5000"
"42","0.0172","0.0000","0.0002","0.0011","0.0183","0.0000","0.0105","27.1770","0.0002","6.1481","42.5000"
"43","0.0190","0.0000","0.0002","0.0014","0.0198","0.0000","0.0113","26.5213","0.0002","6.1525","43.5000"
"44","0.0211","0.0000","0.0003","0.0017","0.0216","0.0000","0.0121","25.8819","0.0003","6.1230","44.5000"
"45","0.0233","0.0000","0.0003","0.0020","0.0237","0.0000","0.0128","25.2557","0.0003","6.0443","45.5000"
"46","0.0258","0.0000","0.0004","0.0023","0.0260","0.0000","0.0134","24.6393","0.0003","5.9064","46.5000"
"47","0.0284","0.0000","0.0004","0.0025","0.0286","0.0000","0.0138","24.0297","0.0004","5.7132","47.5000"
"48","0.0311","0.0000","0.0005","0.0028","0.0315","0.0000","0.0142","23.4248","0.0004","5.4742","48.5000"
