"DisMod II input and output, database QIMD 1 2011 affluent","","","","","","","","","","",""
"Females, Disease: Stroke (Rates * ), sex: Females","","","","","","","","","","",""
"Written 05/12/2016, 22:28:23","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0002","0.0000","0.0000","0.0000","0.0002","0.0000","0.0035","8.4411","0.0000","2.4586","0.5000"
"1","0.0002","0.0000","0.0000","0.0000","0.0002","0.0000","0.0076","7.4991","0.0000","7.9695","1.5000"
"2","0.0001","0.0000","0.0000","0.0000","0.0002","0.0000","0.0126","6.5744","0.0000","60.2819","2.5000"
"3","0.0000","0.0000","0.0000","0.0000","0.0002","0.0001","0.0078","5.6388","0.0000","143.8587","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0002","0.0001","0.0000","4.6608","0.0000","0.0000","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0002","0.0001","0.0000","3.6615","0.0000","1.0000","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0002","0.0002","0.0270","2.7006","0.0000","838.8008","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0002","0.0002","0.1496","1.8855","0.0000","3563.1391","7.5000"
"8","0.0000","0.0000","0.0000","0.0000","0.0001","0.0003","0.3867","1.2821","0.0001","7913.7215","8.5000"
"9","0.0000","0.0000","0.0000","0.0000","0.0001","0.0003","0.7719","0.8712","0.0001","15177.6829","9.5000"
"10","0.0000","0.0000","0.0000","0.0000","0.0000","0.0003","1.3190","0.6099","0.0000","26491.7429","10.5000"
"11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0002","1.9612","0.4519","0.0000","40687.9719","11.5000"
"12","0.0000","0.0000","0.0000","0.0000","0.0000","0.0002","2.6117","0.3579","0.0000","53828.3516","12.5000"
"13","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","3.1838","0.3033","0.0000","60389.8804","13.5000"
"14","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","3.5907","0.2755","0.0000","58846.8376","14.5000"
"15","0.0000","0.0000","0.0000","0.0000","0.0000","0.0001","3.7455","0.2703","0.0000","51110.1396","15.5000"
