"DisMod II input and output, database QIMD 5 2011","","","","","","","","","","",""
"Females, Disease: Stroke (Rates * ), sex: Females","","","","","","","","","","",""
"Written 05/12/2016, 23:30:58","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0025","0.0000","0.0000","0.0000","0.0025","0.0000","0.0041","55.8751","0.0000","1.8398","0.5000"
"1","0.0023","0.0000","0.0000","0.0000","0.0025","0.0000","0.0041","55.3041","0.0000","2.8265","1.5000"
"2","0.0013","0.0000","0.0000","0.0000","0.0025","0.0000","0.0041","54.6030","0.0000","9.8950","2.5000"
"3","0.0002","0.0000","0.0000","0.0000","0.0025","0.0000","0.0040","53.8364","0.0000","33.5150","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0025","0.0000","0.0039","53.0523","0.0000","58.5400","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0025","0.0000","0.0038","52.2591","0.0000","61.8240","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0025","0.0000","0.0037","51.4572","0.0000","49.6384","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0025","0.0000","0.0035","50.6446","0.0000","38.2125","7.5000"
"8","0.0001","0.0000","0.0000","0.0000","0.0025","0.0000","0.0032","49.8173","0.0000","33.5782","8.5000"
"9","0.0002","0.0000","0.0000","0.0000","0.0025","0.0000","0.0028","48.9698","0.0000","32.3673","9.5000"
"10","0.0002","0.0000","0.0000","0.0000","0.0025","0.0000","0.0023","48.0970","0.0000","31.3096","10.5000"
"11","0.0001","0.0000","0.0000","0.0000","0.0025","0.0000","0.0018","47.1986","0.0000","29.6213","11.5000"
"12","0.0000","0.0000","0.0000","0.0000","0.0024","0.0000","0.0017","46.2831","0.0000","28.8760","12.5000"
"13","0.0000","0.0000","0.0000","0.0000","0.0024","0.0000","0.0019","45.3683","0.0000","31.7639","13.5000"
