"DisMod II input and output, database QIMD 1 2011 affluent","","","","","","","","","","",""
"Males, Disease: Stroke (Rates * ), sex: Males","","","","","","","","","","",""
"Written 05/12/2016, 22:24:11","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0011","0.0000","0.0000","0.0000","0.0011","0.0000","0.0349","10.9327","0.0000","12.8069","0.5000"
"1","0.0010","0.0000","0.0000","0.0000","0.0011","0.0000","0.0324","10.3130","0.0000","26.1432","1.5000"
"2","0.0006","0.0000","0.0000","0.0000","0.0010","0.0000","0.0289","9.6267","0.0000","123.6638","2.5000"
"3","0.0001","0.0000","0.0000","0.0000","0.0010","0.0000","0.0308","8.9042","0.0000","529.9258","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0010","0.0000","0.0418","8.2132","0.0000","1348.4935","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0009","0.0000","0.0568","7.6008","0.0001","1973.1813","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0009","0.0000","0.0685","7.0587","0.0001","1874.3640","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0008","0.0000","0.0696","6.5278","0.0001","1399.9109","7.5000"
"8","0.0000","0.0000","0.0000","0.0000","0.0007","0.0000","0.0525","5.9100","0.0000","882.0438","8.5000"
"9","0.0001","0.0000","0.0000","0.0000","0.0007","0.0000","0.0100","5.0886","0.0000","158.4000","9.5000"
"10","0.0001","0.0000","0.0000","0.0000","0.0007","0.0000","0.0000","4.1136","0.0000","0.0000","10.5000"
"11","0.0000","0.0000","0.0000","0.0000","0.0007","0.0000","0.0000","3.1138","0.0000","1.0000","11.5000"
"12","0.0000","0.0000","0.0000","0.0000","0.0007","0.0000","0.0037","2.1182","0.0000","53.4911","12.5000"
"13","0.0000","0.0000","0.0000","0.0000","0.0006","0.0000","0.2621","1.3075","0.0002","3098.2244","13.5000"
"14","0.0000","0.0000","0.0000","0.0000","0.0004","0.0000","0.7673","0.7937","0.0003","6944.3614","14.5000"
"15","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","1.5891","0.4920","0.0002","10601.2957","15.5000"
"16","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.7551","0.3217","0.0000","13618.2560","16.5000"
"17","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","4.1230","0.0000","0.0000","15850.6748","0.0000"
