"DisMod II input and output, database QIMD 2 2011","","","","","","","","","","",""
"Males, Disease: Stroke (Rates * ), sex: Males","","","","","","","","","","",""
"Written 05/12/2016, 22:40:09","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0013","0.0000","0.0000","0.0000","0.0013","0.0000","0.0033","16.4013","0.0000","1.9110","0.5000"
"1","0.0012","0.0000","0.0000","0.0000","0.0013","0.0000","0.0033","15.4960","0.0000","2.9612","1.5000"
"2","0.0006","0.0000","0.0000","0.0000","0.0013","0.0000","0.0035","14.5618","0.0000","11.2749","2.5000"
"3","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0045","13.6206","0.0000","49.9800","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0065","12.6934","0.0000","129.7123","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0091","11.7891","0.0000","192.7330","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0114","10.9057","0.0000","193.2886","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0128","10.0327","0.0000","162.2529","7.5000"
"8","0.0001","0.0000","0.0000","0.0000","0.0013","0.0000","0.0123","9.1538","0.0000","133.1555","8.5000"
"9","0.0001","0.0000","0.0000","0.0000","0.0012","0.0000","0.0093","8.2492","0.0000","96.2895","9.5000"
"10","0.0001","0.0000","0.0000","0.0000","0.0012","0.0000","0.0042","7.3035","0.0000","44.1976","10.5000"
"11","0.0001","0.0000","0.0000","0.0000","0.0012","0.0000","0.0018","6.3252","0.0000","19.7276","11.5000"
"12","0.0000","0.0000","0.0000","0.0000","0.0012","0.0000","0.0082","0.0000","0.0000","80.2112","0.0000"
"13","0.0000","0.0000","0.0000","0.0000","0.0012","0.0000","0.0293","0.0000","0.0000","243.2477","0.0000"
