agegroup,prevalence,prevalence.sm
<1   ,0,0.00164353171531259
01-04,0,0.000116349992186303
05-09,0,0
10-14,0,0
15-19,0,0
20-24,0,0
25-29,0,0
30-34,0,0.000117514888972817
35-39,0,0.00374961908014408
40-44,0,0.0085012480401436
45-49,0.0190909904178283,0.0104331464277074
50-54,0.0364149580862363,0.0149473930207599
55-59,0.0125242326543059,0.0240039844789581
60-64,0.0464536676422637,0.0438413493658736
65-69,0.0456606593828534,0.0662807615450953
70-74,0.022186349124986,0.0872757864743873
75-79,0.230495702863483,0.110220521089954
80-84,0.151924775933344,0.134820900826434
85+,0.112910708259136,0.16119099088065
