year,cause,agegroup,disease,pop,rate
2011,Ischaemic heart diseases,0,1,65286,1.53172196182949e-05
2011,Ischaemic heart diseases,01-04,0,249493,0
2011,Ischaemic heart diseases,05-09,0,279256,0
2011,Ischaemic heart diseases,10-14,0,291763,0
2011,Ischaemic heart diseases,15-19,0,320711,0
2011,Ischaemic heart diseases,20-24,0,364334,0
2011,Ischaemic heart diseases,25-29,3,366941,8.1757012707765e-06
2011,Ischaemic heart diseases,30-34,14,358343,3.90687134951708e-05
2011,Ischaemic heart diseases,35-39,25,350838,7.12579595140777e-05
2011,Ischaemic heart diseases,40-44,68,382643,0.000177711339290148
2011,Ischaemic heart diseases,45-49,120,385911,0.000310952525323196
2011,Ischaemic heart diseases,50-54,221,342908,0.000644487734319409
2011,Ischaemic heart diseases,55-59,333,305561,0.00108979876358567
2011,Ischaemic heart diseases,60-64,508,326879,0.00155409188109362
2011,Ischaemic heart diseases,65-69,607,266276,0.00227958959876219
2011,Ischaemic heart diseases,70-74,867,205666,0.00421557282195404
2011,Ischaemic heart diseases,75-79,1080,162359,0.00665192567088982
2011,Ischaemic heart diseases,80-84,1331,112249,0.0118575666598366
2011,Ischaemic heart diseases,85-89,1234,60046,0.0205509109682577
2011,Ischaemic heart diseases,90+,833,24779,0.0336171758343759
