age,condition,mean,se
0,event_free,0.94,0.007
1,event_free,0.94,0.007
2,event_free,0.94,0.007
3,event_free,0.94,0.007
4,event_free,0.94,0.007
5,event_free,0.94,0.007
6,event_free,0.94,0.007
7,event_free,0.94,0.007
8,event_free,0.94,0.007
9,event_free,0.94,0.007
10,event_free,0.94,0.007
11,event_free,0.94,0.007
12,event_free,0.94,0.007
13,event_free,0.94,0.007
14,event_free,0.94,0.007
15,event_free,0.94,0.007
16,event_free,0.94,0.007
17,event_free,0.94,0.007
18,event_free,0.94,0.007
19,event_free,0.94,0.007
20,event_free,0.94,0.007
21,event_free,0.94,0.007
22,event_free,0.94,0.007
23,event_free,0.94,0.007
24,event_free,0.94,0.007
25,event_free,0.93,0.005
26,event_free,0.93,0.005
27,event_free,0.93,0.005
28,event_free,0.93,0.005
29,event_free,0.93,0.005
30,event_free,0.93,0.005
31,event_free,0.93,0.005
32,event_free,0.93,0.005
33,event_free,0.93,0.005
34,event_free,0.93,0.005
35,event_free,0.91,0.007
36,event_free,0.91,0.007
37,event_free,0.91,0.007
38,event_free,0.91,0.007
39,event_free,0.91,0.007
40,event_free,0.91,0.007
41,event_free,0.91,0.007
42,event_free,0.91,0.007
43,event_free,0.91,0.007
44,event_free,0.91,0.007
45,event_free,0.869,0.011
46,event_free,0.869,0.011
47,event_free,0.869,0.011
48,event_free,0.869,0.011
49,event_free,0.869,0.011
50,event_free,0.848,0.011
51,event_free,0.848,0.011
52,event_free,0.848,0.011
53,event_free,0.848,0.011
54,event_free,0.848,0.011
55,event_free,0.826,0.012
56,event_free,0.826,0.012
57,event_free,0.826,0.012
58,event_free,0.826,0.012
59,event_free,0.826,0.012
60,event_free,0.805,0.012
61,event_free,0.805,0.012
62,event_free,0.805,0.012
63,event_free,0.805,0.012
64,event_free,0.805,0.012
65,event_free,0.784,0.012
66,event_free,0.784,0.012
67,event_free,0.784,0.012
68,event_free,0.784,0.012
69,event_free,0.784,0.012
70,event_free,0.763,0.012
71,event_free,0.763,0.012
72,event_free,0.763,0.012
73,event_free,0.763,0.012
74,event_free,0.763,0.012
75,event_free,0.741,0.015
76,event_free,0.741,0.015
77,event_free,0.741,0.015
78,event_free,0.741,0.015
79,event_free,0.741,0.015
80,event_free,0.72,0.015
81,event_free,0.72,0.015
82,event_free,0.72,0.015
83,event_free,0.72,0.015
84,event_free,0.72,0.015
85,event_free,0.699,0.015
86,event_free,0.699,0.015
87,event_free,0.699,0.015
88,event_free,0.699,0.015
89,event_free,0.699,0.015
90,event_free,0.678,0.015
91,event_free,0.678,0.015
92,event_free,0.678,0.015
93,event_free,0.678,0.015
94,event_free,0.678,0.015
95,event_free,0.656,0.015
96,event_free,0.656,0.015
97,event_free,0.656,0.015
98,event_free,0.656,0.015
99,event_free,0.656,0.015
100,event_free,0.635,0.015
0,chd_exclusive,0.778,0.038
1,chd_exclusive,0.778,0.038
2,chd_exclusive,0.778,0.038
3,chd_exclusive,0.778,0.038
4,chd_exclusive,0.778,0.038
5,chd_exclusive,0.778,0.038
6,chd_exclusive,0.778,0.038
7,chd_exclusive,0.778,0.038
8,chd_exclusive,0.778,0.038
9,chd_exclusive,0.778,0.038
10,chd_exclusive,0.778,0.038
11,chd_exclusive,0.778,0.038
12,chd_exclusive,0.778,0.038
13,chd_exclusive,0.778,0.038
14,chd_exclusive,0.778,0.038
15,chd_exclusive,0.778,0.038
16,chd_exclusive,0.778,0.038
17,chd_exclusive,0.778,0.038
18,chd_exclusive,0.778,0.038
19,chd_exclusive,0.778,0.038
20,chd_exclusive,0.778,0.038
21,chd_exclusive,0.778,0.038
22,chd_exclusive,0.778,0.038
23,chd_exclusive,0.778,0.038
24,chd_exclusive,0.778,0.038
25,chd_exclusive,0.778,0.038
26,chd_exclusive,0.778,0.038
27,chd_exclusive,0.778,0.038
28,chd_exclusive,0.778,0.038
29,chd_exclusive,0.778,0.038
30,chd_exclusive,0.778,0.038
31,chd_exclusive,0.778,0.038
32,chd_exclusive,0.778,0.038
33,chd_exclusive,0.778,0.038
34,chd_exclusive,0.778,0.038
35,chd_exclusive,0.778,0.038
36,chd_exclusive,0.778,0.038
37,chd_exclusive,0.778,0.038
38,chd_exclusive,0.778,0.038
39,chd_exclusive,0.778,0.038
40,chd_exclusive,0.778,0.038
41,chd_exclusive,0.778,0.038
42,chd_exclusive,0.778,0.038
43,chd_exclusive,0.778,0.038
44,chd_exclusive,0.778,0.038
45,chd_exclusive,0.778,0.038
46,chd_exclusive,0.778,0.038
47,chd_exclusive,0.778,0.038
48,chd_exclusive,0.778,0.038
49,chd_exclusive,0.778,0.038
50,chd_exclusive,0.778,0.038
51,chd_exclusive,0.778,0.038
52,chd_exclusive,0.778,0.038
