sex,agerange,qimd,qriskupto10,qrisk10to20,qrisk20+
2,40-49,5,0.086926542,0.00064356,0.000137906
2,40-49,4,0.029695688,4.59686E-05,0
2,40-49,3,0.025742392,0,0
2,40-49,2,0.023397996,0,0
2,40-49,1,0.004918636,0,0
2,50-59,5,0.080123196,0.006021881,0.000689528
2,50-59,4,0.034522387,0.000873403,0
2,50-59,3,0.031396525,0.000505654,0
2,50-59,2,0.028776317,0.00032178,4.59686E-05
2,50-59,1,0.006343661,0,0
2,60-69,5,0.029281971,0.019858417,0.002436334
2,60-69,4,0.016318838,0.006619472,0.000413717
2,60-69,3,0.016502712,0.004596856,0.00064356
2,60-69,2,0.01751402,0.004596856,0.000137906
2,60-69,1,0.004229107,0.000689528,0
2,70-74,5,0.001884711,0.012089731,0.006803347
2,70-74,4,0.000551623,0.006619472,0.002298428
2,70-74,3,0.001195182,0.007033189,0.001884711
2,70-74,2,0.001241151,0.007906592,0.001241151
2,70-74,1,0.000183874,0.001654868,0.000275811
1,40-49,5,0.083938586,0.003447642,0.000229843
1,40-49,4,0.025006895,0.000735497,0.000183874
1,40-49,3,0.021927002,0.000367748,0
1,40-49,2,0.020272134,0.000275811,0
1,40-49,1,0.003539579,0,0
1,50-59,5,0.054794521,0.020226165,0.004412982
1,50-59,4,0.023214122,0.005608164,0.000413717
1,50-59,3,0.020180197,0.004504919,0.000551623
1,50-59,2,0.020364071,0.003263768,0.000275811
1,50-59,1,0.004504919,0.000735497,0
1,60-69,5,0.00795256,0.028730348,0.008871932
1,60-69,4,0.003999265,0.010572768,0.00317183
1,60-69,3,0.003907327,0.011262297,0.002528271
1,60-69,2,0.004596856,0.010434863,0.002022617
1,60-69,1,0.001425025,0.003355705,0.00032178
1,70-74,5,0.000551623,0.003907327,0.010618737
1,70-74,4,0.000183874,0.002298428,0.00381539
1,70-74,3,4.59686E-05,0.002528271,0.003401673
1,70-74,2,0.000229843,0.002896019,0.003401673
1,70-74,1,4.59686E-05,0.000873403,0.001241151
